sentence,vocab,model_name,gold,eval,if_frequent
Someone stole {vocab} from his garage.,glue,basic,ARG1,1,1
Someone stole {vocab} from his garage.,wick,basic,ARG1,1,1
Someone stole {vocab} from his garage.,watercolor,basic,ARG1,1,1
Someone stole {vocab} from his garage.,gossypol,basic,ARG1,1,1
Someone stole {vocab} from his garage.,jam,basic,ARG1,1,1
Someone stole {vocab} from his garage.,vinegar,basic,ARG1,1,1
Someone stole {vocab} from his garage.,graphite,basic,ARG1,1,1
Someone stole {vocab} from his garage.,kettle,basic,ARG1,1,1
Someone stole {vocab} from his garage.,cookies,basic,ARG1,1,1
Someone stole {vocab} from his garage.,perfume,basic,ARG1,1,1
Someone stole {vocab} from his garage.,razor,basic,ARG1,1,1
Someone stole {vocab} from his garage.,bulbs,basic,ARG1,1,1
Someone stole {vocab} from his garage.,carpets,basic,ARG1,1,1
Someone stole {vocab} from his garage.,dessert,basic,ARG1,1,1
Someone stole {vocab} from his garage.,bows,basic,ARG1,1,1
Someone stole {vocab} from his garage.,glue,bert,ARG1,1,1
Someone stole {vocab} from his garage.,wick,bert,ARG1,1,1
Someone stole {vocab} from his garage.,watercolor,bert,ARG1,1,1
Someone stole {vocab} from his garage.,gossypol,bert,ARG1,1,1
Someone stole {vocab} from his garage.,jam,bert,ARG1,1,1
Someone stole {vocab} from his garage.,vinegar,bert,ARG1,1,1
Someone stole {vocab} from his garage.,graphite,bert,ARG1,1,1
Someone stole {vocab} from his garage.,kettle,bert,ARG1,1,1
Someone stole {vocab} from his garage.,cookies,bert,ARG1,1,1
Someone stole {vocab} from his garage.,perfume,bert,ARG1,1,1
Someone stole {vocab} from his garage.,razor,bert,ARG1,1,1
Someone stole {vocab} from his garage.,bulbs,bert,ARG1,1,1
Someone stole {vocab} from his garage.,carpets,bert,ARG1,1,1
Someone stole {vocab} from his garage.,dessert,bert,ARG1,1,1
Someone stole {vocab} from his garage.,bows,bert,ARG1,1,1
Someone stole {vocab} from his garage.,instruments,basic,ARG1,1,0
Someone stole {vocab} from his garage.,medals,basic,ARG1,1,0
Someone stole {vocab} from his garage.,newspapers,basic,ARG1,1,0
Someone stole {vocab} from his garage.,cards,basic,ARG1,1,0
Someone stole {vocab} from his garage.,tools,basic,ARG1,1,0
Someone stole {vocab} from his garage.,sculpture,basic,ARG1,1,0
Someone stole {vocab} from his garage.,clothing,basic,ARG1,1,0
Someone stole {vocab} from his garage.,photographs,basic,ARG1,1,0
Someone stole {vocab} from his garage.,bone,basic,ARG1,1,0
Someone stole {vocab} from his garage.,crystal,basic,ARG1,1,0
Someone stole {vocab} from his garage.,door,basic,ARG1,1,0
Someone stole {vocab} from his garage.,speakers,basic,ARG1,1,0
Someone stole {vocab} from his garage.,boards,basic,ARG1,1,0
Someone stole {vocab} from his garage.,drum,basic,ARG1,1,0
Someone stole {vocab} from his garage.,tube,basic,ARG1,1,0
Someone stole {vocab} from his garage.,instruments,bert,ARG1,1,0
Someone stole {vocab} from his garage.,medals,bert,ARG1,1,0
Someone stole {vocab} from his garage.,newspapers,bert,ARG1,1,0
Someone stole {vocab} from his garage.,cards,bert,ARG1,1,0
Someone stole {vocab} from his garage.,tools,bert,ARG1,1,0
Someone stole {vocab} from his garage.,sculpture,bert,ARG1,1,0
Someone stole {vocab} from his garage.,clothing,bert,ARG1,1,0
Someone stole {vocab} from his garage.,photographs,bert,ARG1,1,0
Someone stole {vocab} from his garage.,bone,bert,ARG1,1,0
Someone stole {vocab} from his garage.,crystal,bert,ARG1,1,0
Someone stole {vocab} from his garage.,door,bert,ARG1,1,0
Someone stole {vocab} from his garage.,speakers,bert,ARG1,1,0
Someone stole {vocab} from his garage.,boards,bert,ARG1,1,0
Someone stole {vocab} from his garage.,drum,bert,ARG1,1,0
Someone stole {vocab} from his garage.,tube,bert,ARG1,1,0
